iter	Passed	Remaining
0	2856	282799
1	4902	240202
2	7013	226773
3	9151	219633
4	11555	219556
5	13727	215069
6	16184	215016
7	18837	216636
8	20995	212288
9	23195	208758
10	25345	205071
11	27605	202437
12	29563	197849
13	31907	196003
14	34424	195070
15	36378	190986
16	38452	187737
17	40472	184375
18	42686	181978
19	44693	178773
20	46791	176024
21	48820	173090
22	50977	170662
23	52961	167712
24	55066	165200
25	56993	162211
26	59053	159662
27	61102	157120
28	63202	154736
29	65280	152320
30	67272	149736
31	69054	146741
32	71181	144519
33	73424	142529
34	75484	140184
35	77496	137771
36	79695	135697
37	81724	133340
38	83894	131219
39	85930	128895
40	87888	126473
41	89833	124056
42	91928	121858
43	93927	119543
44	96024	117363
45	98182	115257
46	100438	113260447	102458	110997448	104382	108643
49	106579	106579
50	107943	103710
51	109085	100694
52	110062	97602
53	111210	94734
54	112552	92088
55	113419	89115
56	114506	86382
57	115461	83609
58	116554	80995
59	117604	78403
60	118574	75810
61	119609	73308
62	120480	70758
63	121336	68251
64	122170	65784
65	123116	63423
66	124054	61101
67	124931	58791
68	125834	56534
69	126658	54282
70	127617	52125
71	128524	49981
72	129363	47846
73	130155	45730
74	131042	43680
75	131843	41634
76	132662	39626
77	133557	37670
78	134426	35733
79	135289	33822
80	136142	31934
81	137141	30104
82	137993	28263
83	138840	26445
84	139702	24653
85	140507	22873
86	141397	21128
87	142170	19386
88	142995	17673
89	143822	15980
90	144726	14313
91	145543	12655
92	146297	11011
93	147193	9395
94	148023	7790
95	148849	6202
96	149630	4627
97	150340	3068
98	150965	1524
99	151341	0
