iter	Logloss
0	0.6894604147
1	0.6862569193
2	0.6835067644
3	0.6810065615
4	0.6789864437
5	0.6769724982
6	0.6750628638
7	0.6733426132
8	0.6718588773
9	0.6706142998
10	0.6692466785
11	0.668198617
12	0.6673068025
13	0.6662959021
14	0.6653974131
15	0.6645789894
16	0.6638595476
17	0.6631354761
18	0.6624677445
19	0.6618274483
20	0.6613362758
21	0.6608269337
22	0.6603654738
23	0.6599161833
24	0.6594752135
25	0.6590003741
26	0.6586359557
27	0.658268922
28	0.6579069707
29	0.6575858485
30	0.6572960877
31	0.657047164
32	0.6567545264
33	0.6564667254
34	0.6562131464
35	0.655955577
36	0.6557098569
37	0.6554358847
38	0.6552051299
39	0.6550086324
40	0.6547949652
41	0.654566089
42	0.6543832728
43	0.6541692054
44	0.6540409788
45	0.6538615865
46	0.6536626466
47	0.6535116828
48	0.6533482202
49	0.6531878077
50	0.6530239007
51	0.6528505913
52	0.6527299422
53	0.6525327975
54	0.6523902927
55	0.6522369723
56	0.6520471492
57	0.6518442803
58	0.6516807164
59	0.6515129998
60	0.6513516809
61	0.6511752748
62	0.6510753352
63	0.6508855825
64	0.6507221919
65	0.6505730042
66	0.6504387818
67	0.6503648511
68	0.6501881682
69	0.650089885
70	0.6499139685
71	0.6497914423
72	0.6496886658
73	0.6495424814
74	0.6493921706
75	0.6492525159
76	0.6491087251
77	0.6489812486
78	0.6489024853
79	0.6487758179
80	0.6486592857
81	0.6485477045
82	0.6484453422
83	0.6483199932
84	0.6482142035
85	0.6481182191
86	0.6479653431
87	0.6478533664
88	0.6477670447
89	0.6476486621
90	0.6475403735
91	0.647436392
92	0.6473224571
93	0.6472416766
94	0.6471193623
95	0.6470395612
96	0.6469240022
97	0.6468283773
98	0.6467564692
99	0.6466777371
100	0.6465774504
101	0.6464607526
102	0.6463822855
103	0.646306317
104	0.6461757617
105	0.6460921592
106	0.645994772
107	0.6458785584
108	0.6457719242
109	0.6456935287
110	0.6456107846
111	0.6455151884
112	0.645395911
113	0.6452369171
114	0.6451805093
115	0.6450941284
116	0.6450092979
117	0.6449101
118	0.6448235574
119	0.6447434892
120	0.6446880281
121	0.644608163
122	0.6445096462
123	0.6443778516
124	0.6443123125
125	0.6442536247
126	0.644151794
127	0.6441066358
128	0.6440578359
129	0.6439487787
130	0.6438600824
131	0.6437585699
132	0.6436903873
133	0.6436080482
134	0.6435371417
135	0.64343676
136	0.6434007615
137	0.6433275923
138	0.6432630189
139	0.6431436453
140	0.6430761639
141	0.643028677
142	0.6429362199
143	0.6428951891
144	0.6428521448
145	0.6427892858
146	0.6427039428
147	0.6425609301
148	0.6424753568
149	0.6424066787
150	0.6423318593
151	0.6422600212
152	0.6422062051
153	0.6421339518
154	0.6420523371
155	0.6419828952
156	0.64189789
157	0.6417842799
158	0.6416899981
159	0.6416200911
160	0.6415932945
161	0.6415291526
162	0.6414771515
163	0.641371066
164	0.6412973114
165	0.6411963874
166	0.6411216777
167	0.6410916454
168	0.6409653145
169	0.6408535803
170	0.6407683831
171	0.6406981765
172	0.6405834827
173	0.6404939377
174	0.6404427762
175	0.6403584068
176	0.6402817288
177	0.6401552684
178	0.6400871982
179	0.6400059536
180	0.6399089985
181	0.6398174719
182	0.6397345976
183	0.6396377398
184	0.639518553
185	0.6394272177
186	0.6393765575
187	0.6393133524
188	0.6391750192
189	0.6391323313
190	0.639042094
191	0.6389600707
192	0.6388481469
193	0.638754844
194	0.6386830873
195	0.6385735505
196	0.6384867777
197	0.6384087897
198	0.6383139056
199	0.6382431329
200	0.6381203338
201	0.6380261977
202	0.6379265735
203	0.6378518849
204	0.6377431329
205	0.6376506695
206	0.6375379663
207	0.6374437278
208	0.6373641515
209	0.6372588119
210	0.6371380816
211	0.6370262626
212	0.6369234297
213	0.6368272372
214	0.6367213159
215	0.6366385066
216	0.6365720157
217	0.6364446024
218	0.6363318515
219	0.6362279016
220	0.6361320028
221	0.6360638843
222	0.6359812056
223	0.6358841845
224	0.6357811804
225	0.6356769497
226	0.6355888123
227	0.6354801417
228	0.6353895063
229	0.6353253455
230	0.6352332259
231	0.635150849
232	0.6350995503
233	0.6350337879
234	0.6349167087
235	0.6348247278
236	0.6347374274
237	0.6346340054
238	0.6345568919
239	0.6344880235
240	0.634400278
241	0.6343198743
242	0.6342243068
243	0.6341268252
244	0.6340157948
245	0.6338963909
246	0.6337806129
247	0.6337155519
248	0.6336490522
249	0.633552017
250	0.6334546092
251	0.6333789315
252	0.6332845468
253	0.6332217212
254	0.6331408204
255	0.6330768861
256	0.6330006942
257	0.6329404567
258	0.6328521397
259	0.632774571
260	0.6326921342
261	0.6326162319
262	0.632560446
263	0.6324782259
264	0.6324104398
265	0.6323003409
266	0.6322128786
267	0.6321521561
268	0.6320738356
269	0.632006228
270	0.631908827
271	0.6318054643
272	0.6317300255
273	0.6316789863
274	0.6316184046
275	0.6315147001
276	0.6314415369
277	0.6313848103
278	0.6313158413
279	0.6312374483
280	0.6311838171
281	0.6311312416
282	0.6310747899
283	0.6309819339
284	0.630887182
285	0.6308492901
286	0.6307747981
287	0.6306950085
288	0.6306150374
289	0.6305435763
290	0.6304418806
291	0.6303466766
292	0.6302277033
293	0.6301412208
294	0.6300953797
295	0.6300013847
296	0.6299020148
297	0.6298324727
298	0.6297177415
299	0.6296659657
300	0.6295537153
301	0.629463284
302	0.6293892591
303	0.6293397353
304	0.6292757261
305	0.6291967741
306	0.6291119357
307	0.6290149496
308	0.628932979
309	0.6288373199
310	0.6287269289
311	0.628657617
312	0.6286037494
313	0.6285288074
314	0.6284431694
315	0.6283885718
316	0.6283125003
317	0.628222327
318	0.6281463676
319	0.6280567916
320	0.6279740739
321	0.6279103315
322	0.6278140177
323	0.6277350319
324	0.6276487228
325	0.6275668466
326	0.6275226939
327	0.6274407885
328	0.6273779979
329	0.6273136946
330	0.6272270762
331	0.627150883
332	0.6270507676
333	0.6269818021
334	0.6268928277
335	0.6268305584
336	0.626755316
337	0.6266690233
338	0.6265982758
339	0.6265279569
340	0.6264292063
341	0.6263584556
342	0.6263045192
343	0.6262115673
344	0.6261315268
345	0.6260817454
346	0.6260164499
347	0.6259350473
348	0.6258730919
349	0.6257818398
350	0.6257179555
351	0.6256788951
352	0.6255902375
353	0.6254953448
354	0.6254258228
355	0.6253547069
356	0.6252735228
357	0.6251961634
358	0.6250885646
359	0.6250034241
360	0.6249024183
361	0.6248435546
362	0.6247902888
363	0.6247030421
364	0.624632065
365	0.6245623377
366	0.6244864665
367	0.6244015082
368	0.6243189366
369	0.6242231842
370	0.6241712024
371	0.6240996055
372	0.6240182598
373	0.623960289
374	0.623891386
375	0.6238462698
376	0.6237729296
377	0.6237123629
378	0.6236323843
379	0.6235422304
380	0.6234642074
381	0.6233802303
382	0.6233152887
383	0.6232385805
384	0.6231393565
385	0.6230711543
386	0.6229719044
387	0.6229098221
388	0.6228236878
389	0.6227745269
390	0.6227227566
391	0.6226271552
392	0.622568039
393	0.6225032991
394	0.6224274654
395	0.622368093
396	0.622295985
397	0.6222267228
398	0.6221802932
399	0.6221000611
400	0.6220172132
401	0.621970471
402	0.621912394
403	0.6218255909
404	0.6217764111
405	0.6217151081
406	0.6216436726
407	0.6215682085
408	0.6215160781
409	0.6214727512
410	0.6214007307
411	0.6213183158
412	0.6212569472
413	0.6212012732
414	0.6210996093
415	0.6210305437
416	0.6209859152
417	0.6209238796
418	0.6208730547
419	0.6207698739
420	0.6207044814
421	0.620637161
422	0.6205848882
423	0.6205130719
424	0.6204438995
425	0.6203653497
426	0.6202956406
427	0.6202484424
428	0.6202084655
429	0.6201388313
430	0.6200786564
431	0.6200025204
432	0.619949374
433	0.6198804544
434	0.6198282782
435	0.6197765144
436	0.6197167847
437	0.6196387665
438	0.6195553457
439	0.6194909823
440	0.6194155594
441	0.6193361723
442	0.6192894455
443	0.6192026912
444	0.6191244122
445	0.619058033
446	0.6189991111
447	0.6189539043
448	0.6188753661
449	0.6187949943
450	0.6186978121
451	0.6186312575
452	0.6185500719
453	0.6184904625
454	0.6184499647
455	0.6183780096
456	0.6182899621
457	0.6182075174
458	0.618118276
459	0.6180584865
460	0.6180038488
461	0.6179414775
462	0.6178755534
463	0.6177830566
464	0.6176930758
465	0.6176269758
466	0.6175367995
467	0.6174747153
468	0.61738399
469	0.6173221332
470	0.6172658628
471	0.617183853
472	0.6171013818
473	0.6170243443
474	0.6169611541
475	0.6169011191
476	0.6168306385
477	0.6167652217
478	0.6166757731
479	0.6166189764
480	0.6165430047
481	0.6164832962
482	0.6164041537
483	0.6163509992
484	0.6162879624
485	0.6162205877
486	0.6161649445
487	0.6160953249
488	0.6160353074
489	0.6159506733
490	0.6159216887
491	0.6158499991
492	0.6157869464
493	0.6157075218
494	0.615630206
495	0.6155702773
496	0.6154885556
497	0.615448567
498	0.6153774811
499	0.6153221024
500	0.6152798765
501	0.6152372181
502	0.6151965159
503	0.6151089099
504	0.6150445916
505	0.6149991783
506	0.6149526945
507	0.6148784082
508	0.6147886493
509	0.6146864376
510	0.614629815
511	0.6145514187
512	0.6144974484
513	0.6144472804
514	0.6143840288
515	0.6143458329
516	0.6142638367
517	0.6141946639
518	0.6141245561
519	0.614054936
520	0.6140158574
521	0.6139456186
522	0.6138703349
523	0.6137751929
524	0.6137259512
525	0.6136588034
526	0.6136090351
527	0.6135515563
528	0.6135138967
529	0.6134424911
530	0.6133972775
531	0.6133175053
532	0.61326887
533	0.6131969103
534	0.613147752
535	0.6130712037
536	0.6130143322
537	0.6129550137
538	0.6128571651
539	0.612775361
540	0.6127172628
541	0.6126458738
542	0.6125731087
543	0.612496467
544	0.6124485173
545	0.6123799322
546	0.6123170281
547	0.6122523681
548	0.6121832778
549	0.6121341411
550	0.6120709297
551	0.6119834603
552	0.6119145588
553	0.6118309571
554	0.6117719278
555	0.6117194932
556	0.611674774
557	0.6116070057
558	0.6115267541
559	0.6114939895
560	0.611424737
561	0.6113753174
562	0.6113014393
563	0.6112695359
564	0.6111750863
565	0.6110998293
566	0.6110198977
567	0.6109780654
568	0.6109241851
569	0.6108646864
570	0.6108069707
571	0.6107183346
572	0.6106500824
573	0.610582206
574	0.6105297288
575	0.6104616792
576	0.610385343
577	0.6103382687
578	0.6102852234
579	0.6102270885
580	0.6101302455
581	0.6100854179
582	0.6100113882
583	0.6099540404
584	0.6098869476
585	0.6098560162
586	0.6097974135
587	0.6097533386
588	0.6096782179
589	0.609597019
590	0.6094908355
591	0.609412909
592	0.6093503737
593	0.6092862444
594	0.6092356526
595	0.609168334
596	0.6090977697
597	0.6090653087
598	0.6090021301
599	0.608905683
600	0.6088597553
601	0.6087906346
602	0.6087342783
603	0.6086701718
604	0.6086403153
605	0.6085739077
606	0.6085060927
607	0.6084337213
608	0.6083967614
609	0.608330482
610	0.6082700664
611	0.6082178966
612	0.6081343621
613	0.6080785034
614	0.6080367799
615	0.6079714708
616	0.6078951933
617	0.6078484575
618	0.6078121877
619	0.6077393593
620	0.6076719247
621	0.6076014408
622	0.6075504851
623	0.6075005692
624	0.6074159181
625	0.6073513026
626	0.6072834861
627	0.6072349382
628	0.6071830286
629	0.6071509944
630	0.6071029761
631	0.6070366735
632	0.6069756861
633	0.6068968168
634	0.6068130826
635	0.606727402
636	0.606655625
637	0.6065951117
638	0.6065680719
639	0.6065140019
640	0.6064623021
641	0.6064081678
642	0.6063124595
643	0.6062538943
644	0.6062172332
645	0.606173128
646	0.6061262698
647	0.6060896276
648	0.6060205531
649	0.60596101
650	0.6059013633
651	0.6058376404
652	0.6057924447
653	0.6057373328
654	0.6056682501
655	0.6055991996
656	0.6055374529
657	0.6054651313
658	0.6053994139
659	0.6053403224
660	0.6052895619
661	0.6052059105
662	0.6051421306
663	0.6050681603
664	0.6050069367
665	0.6049187065
666	0.6048434343
667	0.6047571768
668	0.6046873513
669	0.6046280179
670	0.6045765922
671	0.6045175412
672	0.6044499397
673	0.6043892875
674	0.6043532752
675	0.604279398
676	0.6042297137
677	0.6041733622
678	0.604123569
679	0.6040612515
680	0.6039956973
681	0.6039549712
682	0.6038945111
683	0.6038537482
684	0.6038423378
685	0.6037642286
686	0.6037203619
687	0.6036794536
688	0.603634217
689	0.6035961447
690	0.6035446473
691	0.6034815778
692	0.6034420817
693	0.6033642222
694	0.6033048061
695	0.6032314507
696	0.6031721713
697	0.6031149384
698	0.6030393864
699	0.6029798687
700	0.602934998
701	0.6028726044
702	0.6028117443
703	0.6027643502
704	0.6027216362
705	0.6026762261
706	0.6026217066
707	0.6025665248
708	0.6025202058
709	0.6024688565
710	0.6023970733
711	0.6023397957
712	0.6022638106
713	0.6021955913
714	0.6021478405
715	0.6021075915
716	0.6020688431
717	0.6020249319
718	0.6019611814
719	0.6018961597
720	0.6018117458
721	0.6017468054
722	0.6017017079
723	0.6016347979
724	0.6015706048
725	0.6015147443
726	0.6014689393
727	0.601436764
728	0.6013962491
729	0.6013476839
730	0.601276534
731	0.601206568
732	0.6011504996
733	0.6011177514
734	0.6010517987
735	0.6009683164
736	0.6008930871
737	0.6008445859
738	0.6007852281
739	0.6007195477
740	0.6006894187
741	0.6006262511
742	0.6005785422
743	0.6005467175
744	0.6005208998
745	0.6004539408
746	0.6004135933
747	0.600360261
748	0.6002952424
749	0.6002423474
750	0.6001711685
751	0.6001162416
752	0.6000525998
753	0.5999772364
754	0.5998784531
755	0.5998347098
756	0.5997793374
757	0.599728956
758	0.5996731047
759	0.5996078618
760	0.5995488401
761	0.5995072238
762	0.5994920558
763	0.5994226982
764	0.5993485719
765	0.5992986495
766	0.5992413281
767	0.5991773147
768	0.5991204928
769	0.5990637878
770	0.5990400604
771	0.5989772995
772	0.5989186677
773	0.5988625415
774	0.5988032337
775	0.5987301277
776	0.5986715482
777	0.5985995759
778	0.598556583
779	0.598493536
780	0.5984556291
781	0.5984063838
782	0.5983574449
783	0.5982810244
784	0.5982163963
785	0.5981595959
786	0.598097404
