iter	Logloss
0	0.6680100182
1	0.6588889252
2	0.6552757033
3	0.6533374189
4	0.6522935987
5	0.6514604159
6	0.6507957396
7	0.6502723463
8	0.6496711081
9	0.6494019023
10	0.6489125901
11	0.6484074317
12	0.6481049843
13	0.6473007162
14	0.6468852315
15	0.6465469347
16	0.6462802383
17	0.645801078
18	0.6454075311
19	0.6451631656
20	0.6450244365
21	0.6447399315
22	0.6445660444
23	0.6442840567
24	0.644085048
25	0.6437495017
26	0.6432853462
27	0.6430252092
28	0.6427348856
29	0.642443
30	0.6422767775
31	0.6420024977
32	0.6416920297
33	0.641341731
34	0.6411742998
35	0.6409280684
36	0.6405360358
37	0.6403216483
38	0.6401229343
39	0.6398748941
40	0.639548427
41	0.6393540815
42	0.6391731919
43	0.6389722199
44	0.6387682618
45	0.6385604523
46	0.6383000038
47	0.6380775251
48	0.6379328638
49	0.6376889893
50	0.6375099235
51	0.6373322305
52	0.6370770176
53	0.6368575548
54	0.636686919
55	0.6364536183
56	0.636366263
57	0.6362220302
58	0.6360469328
59	0.6358484906
60	0.6355645749
61	0.63537437
62	0.6351916903
63	0.6349511765
64	0.6347328867
65	0.6345567476
66	0.6343405618
67	0.6341767438
68	0.6340280613
69	0.6338950521
70	0.6336517729
71	0.6334979574
72	0.6333750616
73	0.6332588367
74	0.6331134042
75	0.6329718612
76	0.6327528742
77	0.6326235188
78	0.6324711622
79	0.6322843898
80	0.6321175103
81	0.6319069145
82	0.6316728451
83	0.6316401523
84	0.631538369
85	0.6313778249
86	0.6311991439
87	0.631066634
88	0.6309274066
89	0.6307119539
90	0.6305191699
91	0.6303045868
92	0.6301902521
93	0.6301777233
94	0.6299509238
95	0.6298677173
96	0.6297232142
97	0.629531635
98	0.6293601029
99	0.6291935287
