iter	Passed	Remaining
0	89	8886
1	112	5522
2	137	4430
3	158	3803
4	181	3453
5	205	3217
6	229	3052
7	251	2887
8	274	2772
9	297	2680
10	323	2613
11	347	2546
12	368	2467
13	391	2405
14	415	2352
15	435	2288
16	456	2230
17	480	2189
18	502	2140
19	522	2089
20	546	2056
21	571	2026
22	593	1988
23	614	1945
24	635	1907
25	658	1873
26	681	1843
27	705	1813
28	727	1780
29	749	1749
30	773	1722
31	800	1700
32	822	1669
33	843	1636
34	865	1607
35	891	1584
36	917	1561
37	941	1536
38	962	1506
39	985	1477
40	1008	1451
41	1032	1425
42	1057	1401
43	1078	1372
44	1101	1346
45	1123	1319
46	1147	1293
47	1168	1266
48	1190	1238
49	1212	1212
50	1245	1196
51	1276	1177
52	1299	1152
53	1322	1126
54	1344	1100
55	1367	1074
56	1388	1047
57	1410	1021
58	1434	996
59	1455	970
60	1479	946
61	1502	920
62	1527	896
63	1550	872
64	1574	847
65	1597	822
66	1621	798
67	1645	774
68	1674	752
69	1704	730
70	1729	706
71	1754	682
72	1778	657
73	1801	632
74	1825	608
75	1850	584
76	1877	560
77	1901	536
78	1926	512
79	1954	488
80	1978	464
81	2001	439
82	2025	414
83	2049	390
84	2075	366
85	2099	341
86	2122	317
87	2144	292
88	2169	268
89	2197	244
90	2224	220
91	2248	195
92	2274	171
93	2296	146
94	2319	122
95	2343	97
96	2365	73
97	2388	48
98	2410	24
99	2432	0
