iter	Passed	Remaining
0	15	14988
1	30	15018
2	49	16388
3	66	16503
4	83	16634
5	105	17485
6	120	17097
7	137	17055
8	155	17132
9	176	17457
10	189	17004
11	208	17182
12	221	16821
13	240	16945
14	260	17081
15	277	17044
16	294	17039
17	316	17281
18	336	17374
19	356	17485
20	374	17464
21	392	17439
22	406	17266
23	423	17208
24	437	17068
25	456	17098
26	472	17035
27	493	17137
28	510	17101
29	528	17082
30	547	17124
31	563	17058
32	581	17050
33	600	17074
34	616	16995
35	637	17074
36	654	17034
37	670	16966
38	689	16983
39	704	16911
40	720	16851
41	735	16780
42	753	16772
43	768	16706
44	785	16675
45	804	16692
46	819	16615
47	836	16585
48	857	16639
49	876	16653
50	895	16668
51	914	16671
52	936	16736
53	958	16785
54	975	16756
55	998	16829
56	1014	16778
57	1032	16769
58	1047	16711
59	1069	16757
60	1092	16816
61	1110	16794
62	1128	16782
63	1147	16781
64	1164	16747
65	1183	16743
66	1198	16684
67	1215	16666
68	1232	16633
69	1251	16625
70	1267	16582
71	1285	16568
72	1303	16557
73	1319	16511
74	1336	16479
75	1351	16434
76	1367	16395
77	1387	16404
78	1403	16359
79	1417	16304
80	1441	16349
81	1466	16422
82	1492	16494
83	1507	16435
84	1522	16392
85	1539	16357
86	1557	16340
87	1571	16287
88	1585	16232
89	1607	16251
90	1626	16245
91	1643	16217
92	1658	16173
93	1678	16174
94	1698	16178
95	1717	16170
96	1734	16143
97	1752	16132
98	1770	16112
99	1787	16089
100	1808	16100
101	1825	16070
102	1841	16033
103	1857	16005
104	1876	15992
105	1893	15972
106	1911	15954
107	1926	15914
108	1944	15894
109	1961	15872
110	1989	15931
111	2004	15893
112	2025	15896
113	2040	15856
114	2060	15856
115	2074	15808
116	2090	15779
117	2110	15778
118	2126	15744
119	2144	15729
120	2157	15676
121	2175	15657
122	2191	15628
123	2207	15593
124	2227	15589
125	2243	15561
126	2257	15521
127	2277	15517
128	2299	15527
129	2319	15524
130	2337	15505
131	2350	15458
132	2367	15430
133	2389	15441
134	2408	15429
135	2425	15407
136	2440	15371
137	2457	15353
138	2472	15317
139	2488	15286
140	2508	15281
141	2526	15266
142	2544	15251
143	2560	15220
144	2576	15193
145	2592	15164
146	2612	15162
147	2630	15145
148	2649	15132
149	2664	15101
150	2682	15083
151	2700	15068
152	2727	15097
153	2743	15068
154	2758	15037
155	2774	15010
156	2791	14991
157	2815	15001
158	2832	14981
159	2849	14961
160	2865	14933
161	2884	14920
162	2901	14896
163	2926	14916
164	2962	14994
165	2987	15008
166	3001	14973
167	3014	14930
168	3031	14904
169	3048	14882
170	3063	14852
171	3076	14809
172	3091	14780
173	3104	14737
174	3121	14717
175	3136	14684
176	3154	14666
177	3169	14634
178	3184	14606
179	3204	14599
180	3219	14566
181	3236	14544
182	3249	14507
183	3265	14479
184	3280	14453
185	3294	14418
186	3309	14389
187	3326	14368
188	3342	14344
189	3359	14320
190	3373	14288
191	3387	14256
192	3400	14220
193	3417	14197
194	3436	14187
195	3449	14151
196	3466	14131
197	3481	14099
198	3498	14082
199	3517	14068
200	3531	14039
201	3546	14008
202	3563	13991
203	3580	13969
204	3595	13944
205	3609	13911
206	3625	13889
207	3641	13865
208	3655	13833
209	3668	13801
210	3685	13782
211	3703	13766
212	3721	13748
213	3736	13724
214	3753	13704
215	3770	13685
216	3786	13663
217	3801	13635
218	3814	13603
219	3829	13577
220	3844	13550
221	3859	13526
222	3874	13499
223	3892	13484
224	3904	13450
225	3923	13437
226	3940	13419
227	3953	13385
228	3968	13361
229	3985	13344
230	4002	13325
231	4021	13314
232	4038	13293
233	4052	13265
234	4069	13249
235	4087	13232
236	4105	13215
237	4118	13187
238	4131	13154
239	4145	13127
240	4162	13109
241	4176	13080
242	4190	13052
243	4203	13024
244	4219	13003
245	4239	12993
246	4255	12972
247	4274	12962
248	4290	12941
249	4307	12922
250	4326	12910
251	4342	12890
252	4358	12869
253	4373	12844
254	4387	12819
255	4402	12793
256	4420	12779
257	4435	12755
258	4455	12746
259	4473	12731
260	4489	12712
261	4506	12692
262	4522	12672
263	4537	12650
264	4548	12615
265	4561	12588
266	4579	12571
267	4593	12545
268	4609	12526
269	4625	12506
270	4643	12491
271	4658	12467
272	4671	12440
273	4686	12418
274	4701	12395
275	4719	12380
276	4735	12360
277	4750	12338
278	4767	12320
279	4782	12298
280	4797	12274
281	4812	12252
282	4826	12228
283	4845	12217
284	4861	12195
285	4876	12174
286	4891	12152
287	4909	12136
288	4923	12112
289	4937	12089
290	4952	12066
291	4967	12044
292	4984	12028
293	5000	12006
294	5018	11994
295	5032	11970
296	5047	11947
297	5062	11925
298	5077	11903
299	5092	11883
300	5109	11864
301	5124	11844
302	5138	11821
303	5154	11800
304	5170	11782
305	5187	11765
306	5201	11742
307	5220	11728
308	5236	11710
309	5252	11691
310	5266	11667
311	5281	11646
312	5297	11627
313	5314	11610
314	5328	11587
315	5341	11562
316	5355	11538
317	5369	11515
318	5387	11501
319	5403	11482
320	5417	11460
321	5432	11439
322	5448	11419
323	5463	11400
324	5477	11375
325	5496	11363
326	5510	11340
327	5526	11322
328	5540	11299
329	5554	11276
330	5566	11251
331	5585	11238
332	5603	11223
333	5618	11202
334	5633	11183
335	5648	11163
336	5665	11146
337	5680	11125
338	5695	11105
339	5716	11096
340	5729	11072
341	5744	11051
342	5762	11036
343	5778	11018
344	5795	11002
345	5810	10983
346	5826	10963
347	5841	10943
348	5861	10933
349	5876	10914
350	5893	10896
351	5909	10878
352	5925	10859
353	5941	10841
354	5956	10822
355	5973	10805
356	5991	10791
357	6010	10778
358	6029	10765
359	6043	10743
360	6056	10721
361	6073	10703
362	6088	10685
363	6102	10662
364	6118	10644
365	6132	10622
366	6146	10602
367	6163	10584
368	6179	10566
369	6195	10549
370	6212	10532
371	6227	10512
372	6245	10497
373	6261	10480
374	6279	10466
375	6296	10449
376	6311	10429
377	6326	10410
378	6343	10393
379	6356	10370
380	6375	10357
381	6386	10332
382	6401	10312
383	6417	10293
384	6434	10277
385	6451	10262
386	6467	10244
387	6485	10229
388	6500	10209
389	6520	10198
390	6538	10183
391	6553	10164
392	6568	10144
393	6585	10129
394	6602	10113
395	6619	10096
396	6636	10080
397	6651	10061
398	6667	10043
399	6684	10026
400	6697	10004
401	6711	9984
402	6729	9969
403	6745	9951
