iter	Passed	Remaining
0	3	3989
1	6	3067
2	9	3215
3	15	3943
4	20	4168
5	26	4451
6	34	4940
7	42	5287
8	48	5311
9	50	4999
10	53	4794
11	55	4607
12	58	4465
13	61	4315
14	63	4180
15	66	4061
16	68	3945
17	70	3868
18	72	3760
19	75	3698
20	77	3621
21	80	3572
22	82	3518
23	85	3473
24	87	3427
25	90	3388
26	92	3351
27	94	3296
28	97	3257
29	99	3229
30	101	3187
31	104	3152
32	105	3087
33	107	3059
34	109	3032
35	112	3006
36	114	2977
37	116	2942
38	118	2922
39	121	2911
40	123	2892
41	126	2884
42	128	2852
43	130	2833
44	133	2826
45	135	2808
46	138	2803
47	140	2788
48	142	2770
49	145	2757
50	147	2747
51	150	2737
52	152	2725
53	155	2717
54	157	2708
55	159	2695
56	162	2693
57	165	2681
58	167	2669
59	169	2659
60	172	2648
61	174	2640
62	176	2617
63	178	2604
64	180	2601
65	184	2606
66	186	2599
67	189	2591
68	191	2590
69	194	2577
70	196	2569
71	198	2558
72	200	2547
73	203	2547
74	205	2535
75	207	2522
76	210	2518
77	212	2513
78	214	2503
79	217	2495
80	219	2491
81	221	2480
82	223	2471
83	225	2464
84	228	2457
85	230	2448
86	232	2441
87	234	2434
88	237	2429
89	239	2424
90	241	2416
91	244	2409
92	246	2401
93	248	2397
94	251	2395
95	253	2388
96	256	2384
97	258	2379
98	260	2373
99	263	2367
100	265	2361
101	267	2354
102	270	2351
103	272	2349
104	274	2343
105	277	2339
106	279	2334
107	282	2329
108	284	2323
109	286	2321
110	289	2319
111	291	2313
112	293	2301
113	295	2298
114	297	2291
115	299	2286
116	302	2281
117	304	2278
118	307	2273
119	309	2268
120	312	2268
121	315	2267
122	317	2261
123	319	2256
124	322	2255
125	324	2249
126	327	2248
127	329	2243
128	331	2241
129	334	2236
130	336	2232
131	338	2226
132	341	2223
133	343	2216
134	345	2213
135	348	2212
136	350	2206
137	352	2203
138	355	2201
139	357	2195
140	359	2190
141	361	2185
142	364	2183
143	366	2177
144	368	2173
145	371	2171
146	373	2168
147	376	2165
148	378	2161
149	380	2155
150	383	2153
151	385	2150
152	387	2145
153	390	2144
154	392	2141
155	395	2137
156	397	2134
157	399	2130
158	402	2127
159	404	2123
160	406	2120
161	409	2117
162	411	2113
163	413	2110
164	416	2107
165	418	2104
166	421	2103
167	423	2098
168	426	2094
169	428	2091
170	430	2088
171	433	2085
172	435	2081
173	437	2077
174	440	2074
175	442	2070
176	444	2068
177	447	2064
178	450	2065
179	453	2063
180	455	2061
181	457	2057
182	460	2056
183	463	2054
184	465	2049
185	467	2045
186	469	2042
187	472	2039
188	474	2035
189	476	2031
190	478	2027
191	480	2023
192	483	2020
193	485	2017
194	488	2014
195	490	2011
196	493	2009
197	495	2006
198	497	2003
199	500	2000
200	502	1998
201	504	1993
202	506	1989
203	509	1986
204	511	1984
205	513	1980
206	516	1976
207	518	1973
208	520	1969
209	523	1968
210	525	1965
211	527	1962
212	530	1959
213	532	1955
214	534	1952
215	537	1949
216	539	1945
217	541	1942
218	544	1940
219	546	1936
220	548	1933
221	550	1930
222	553	1928
223	556	1926
224	558	1923
225	560	1920
226	562	1916
227	564	1912
228	566	1908
229	569	1906
230	571	1902
231	573	1898
232	575	1895
233	577	1891
234	580	1888
235	582	1885
236	585	1883
237	587	1881
238	590	1879
239	593	1878
240	595	1873
241	597	1871
242	599	1868
243	601	1865
244	604	1861
245	606	1859
246	609	1857
247	611	1854
248	613	1851
249	616	1848
250	618	1845
251	620	1842
252	622	1839
253	624	1833
254	626	1830
255	628	1827
256	631	1824
257	633	1821
258	635	1819
259	638	1817
260	640	1814
261	643	1811
262	645	1808
263	647	1805
264	649	1802
265	652	1799
266	654	1796
267	657	1796
268	660	1794
269	662	1792
270	665	1789
271	667	1786
272	670	1784
273	672	1781
274	674	1777
275	677	1775
276	679	1773
277	681	1770
278	684	1768
279	686	1765
280	689	1763
281	691	1760
282	693	1757
283	695	1754
284	698	1752
285	700	1749
286	703	1746
287	705	1744
288	708	1742
289	710	1740
290	713	1737
291	715	1734
292	718	1733
293	720	1730
294	723	1728
295	724	1724
296	727	1721
297	729	1718
298	731	1715
299	733	1711
300	736	1709
301	738	1706
302	740	1704
303	742	1700
304	745	1697
305	747	1694
306	749	1691
307	751	1688
308	753	1685
309	755	1681
310	757	1678
311	759	1675
312	762	1672
313	764	1669
314	766	1666
315	768	1663
316	770	1659
317	773	1659
318	775	1656
319	777	1652
320	779	1649
321	783	1649
322	785	1646
323	787	1643
324	790	1641
325	792	1638
326	794	1635
327	796	1632
328	798	1629
329	801	1626
330	803	1624
331	805	1621
332	807	1618
333	810	1615
334	812	1613
335	814	1610
336	817	1608
337	819	1605
338	822	1603
339	824	1600
340	826	1597
341	828	1593
342	830	1590
343	833	1588
344	835	1585
345	837	1583
346	839	1580
347	842	1578
348	844	1575
349	846	1572
350	849	1569
351	851	1566
352	853	1563
353	855	1560
354	857	1557
355	859	1554
356	861	1551
357	863	1548
358	865	1545
359	867	1542
360	869	1538
361	871	1535
362	873	1532
363	875	1529
364	877	1526
365	879	1522
366	881	1519
367	883	1517
368	886	1515
369	888	1512
370	890	1509
371	892	1506
372	894	1503
373	896	1501
374	898	1497
375	900	1494
376	903	1493
377	905	1490
378	907	1487
379	909	1484
380	912	1482
381	914	1478
382	916	1476
383	918	1473
384	920	1470
385	923	1469
386	926	1467
387	928	1464
388	930	1461
389	932	1458
390	934	1455
391	936	1452
392	938	1449
393	940	1446
394	942	1443
395	944	1440
396	947	1438
397	949	1435
398	951	1433
399	953	1430
400	956	1428
401	958	1425
402	960	1423
403	962	1420
404	965	1417
405	967	1415
406	970	1413
407	972	1410
408	974	1408
409	977	1405
410	979	1403
411	981	1401
412	984	1398
413	986	1395
414	988	1393
415	990	1390
416	992	1387
417	994	1385
418	997	1382
419	999	1380
420	1002	1378
421	1004	1375
422	1006	1372
423	1008	1370
424	1010	1367
425	1013	1366
426	1016	1363
427	1018	1360
428	1020	1358
429	1022	1355
430	1024	1353
431	1027	1350
432	1029	1347
433	1031	1345
434	1034	1343
435	1036	1340
436	1038	1337
437	1040	1334
438	1042	1332
439	1044	1329
440	1046	1327
441	1049	1324
442	1051	1322
443	1054	1320
444	1056	1318
445	1058	1315
446	1061	1312
447	1063	1310
448	1065	1307
449	1067	1304
450	1069	1302
451	1072	1300
452	1074	1297
453	1076	1294
454	1078	1291
455	1080	1289
456	1083	1286
457	1085	1284
458	1087	1281
459	1089	1278
460	1091	1276
461	1093	1273
462	1096	1271
463	1098	1268
464	1099	1265
465	1102	1262
466	1104	1260
467	1106	1257
468	1108	1255
469	1110	1252
470	1113	1250
471	1115	1247
472	1117	1245
473	1120	1242
474	1122	1240
475	1124	1237
476	1126	1235
477	1129	1233
478	1131	1230
479	1133	1227
480	1135	1225
481	1137	1222
482	1139	1219
483	1141	1217
484	1143	1214
485	1145	1211
486	1147	1208
487	1149	1206
488	1152	1203
489	1154	1201
490	1156	1198
491	1158	1196
492	1160	1193
493	1163	1191
494	1165	1189
495	1168	1187
496	1171	1185
497	1173	1182
498	1175	1180
499	1178	1178
500	1180	1175
501	1182	1173
502	1184	1170
503	1186	1167
504	1189	1165
505	1191	1162
506	1193	1160
507	1195	1158
508	1197	1155
509	1200	1153
510	1202	1150
511	1204	1147
512	1206	1145
513	1209	1143
514	1211	1140
515	1213	1138
516	1216	1136
517	1218	1133
518	1220	1131
519	1222	1128
520	1225	1126
521	1227	1123
522	1229	1121
523	1231	1118
524	1234	1116
525	1236	1114
526	1238	1111
527	1240	1109
528	1242	1106
529	1244	1103
530	1247	1101
531	1249	1099
532	1252	1097
533	1254	1095
534	1256	1092
535	1259	1090
536	1261	1087
537	1263	1085
538	1266	1083
539	1269	1081
540	1271	1078
541	1273	1075
542	1276	1074
543	1278	1071
544	1280	1068
545	1282	1066
546	1285	1064
547	1287	1061
548	1288	1058
549	1291	1056
550	1293	1054
551	1295	1051
552	1297	1048
553	1299	1046
554	1302	1044
555	1304	1041
556	1306	1039
557	1308	1036
558	1310	1033
559	1312	1031
560	1314	1028
561	1317	1026
562	1319	1023
563	1321	1021
564	1323	1019
565	1325	1016
566	1328	1014
567	1330	1011
568	1333	1009
569	1335	1007
570	1337	1005
571	1340	1002
572	1342	1000
573	1344	997
574	1346	995
575	1348	992
576	1351	990
577	1353	987
