iter	Passed	Remaining
0	136	136479
1	211	105505
2	277	92322
3	339	84638
4	410	81711
5	475	78768
6	539	76499
7	612	75994
8	673	74200
9	736	72953
10	811	73001
11	867	71421
12	927	70438
13	996	70213
14	1055	69307
15	1119	68824
16	1181	68298
17	1246	67980
18	1294	66841
19	1339	65637
20	1401	65332
21	1477	65681
22	1547	65731
23	1604	65254
24	1672	65218
25	1730	64815
26	1784	64319
27	1844	64038
28	1918	64236
29	1975	63874
30	2021	63188
31	2078	62879
32	2130	62428
33	2193	62311
34	2246	61936
35	2300	61592
36	2357	61363
37	2425	61397
38	2485	61239
39	2547	61138
40	2604	60914
41	2666	60812
42	2719	60514
43	2779	60384
44	2826	59992
45	2876	59659
46	2926	59345
47	2983	59175
48	3055	59307
49	3104	58994
50	3160	58811
51	3221	58728
52	3270	58442
53	3321	58184
54	3367	57862
55	3419	57649
56	3473	57467
57	3528	57311
58	3588	57236
59	3648	57163
60	3706	57052
61	3753	56790
62	3809	56661
63	3874	56667
64	3932	56569
65	3987	56433
66	4036	56209
67	4098	56166
68	4146	55943
69	4204	55853
70	4259	55737
71	4316	55631
72	4380	55621
73	4430	55444
74	4489	55364
75	4538	55177
76	4591	55038
77	4634	54780
78	4699	54788
79	4755	54689
80	4819	54681
81	4867	54494
82	4929	54460
83	4984	54349
84	5045	54316
85	5111	54329
86	5178	54348
87	5233	54238
88	5299	54250
89	5367	54267
90	5430	54250
91	5491	54194
92	5554	54172
93	5619	54162
94	5681	54121
95	5743	54087
96	5808	54071
97	5868	54016
98	5932	53989
99	5993	53940
100	6056	53906
101	6121	53892
102	6185	53872
103	6246	53813
104	6316	53838
105	6381	53818
106	6444	53784
107	6508	53756
108	6571	53713
109	6637	53702
110	6697	53641
111	6762	53616
112	6824	53567
113	6890	53549
114	6957	53538
115	7020	53504
116	7083	53459
117	7143	53395
118	7204	53334
119	7265	53279
120	7330	53250
121	7393	53211
122	7454	53151
123	7513	53080
124	7566	52966
