iter	Logloss
0	0.6889474515
1	0.6853585595
2	0.6818019813
3	0.6786977818
4	0.6759921375
5	0.6735658957
6	0.6714705095
7	0.6695753464
8	0.6677761107
9	0.666211803
10	0.6648243498
11	0.6635457627
12	0.6624511832
13	0.6614027529
14	0.6604966641
15	0.6596501459
16	0.6589331776
17	0.6581327409
18	0.6575259135
19	0.6569454729
20	0.6563648017
21	0.6559288278
22	0.6554562451
23	0.6550950773
24	0.6546853347
25	0.6543438939
26	0.654034084
27	0.6537020602
28	0.6533742719
29	0.6530938069
30	0.6528416332
31	0.6526665607
32	0.6523574864
33	0.6521050315
34	0.6518943307
35	0.6516790101
36	0.6514457242
37	0.651250923
38	0.6510398795
39	0.6508713235
40	0.6507027289
41	0.6504861264
42	0.6503314531
43	0.6501898887
44	0.6500444624
45	0.6498727346
46	0.649722612
47	0.6495983525
48	0.6494421853
49	0.6492993546
50	0.6491762888
51	0.6490136187
52	0.6488632915
53	0.6487316733
54	0.6486344324
55	0.6485242999
56	0.6483960891
57	0.648321053
58	0.6481854932
59	0.6480870916
60	0.6480322707
61	0.6478965954
62	0.6477908788
63	0.6477211503
64	0.6476370144
65	0.6475320873
66	0.6474758121
67	0.6474009656
68	0.6473121874
69	0.6471980231
70	0.6470977617
71	0.6469992195
72	0.6469319415
73	0.6468291987
74	0.646765625
75	0.6466838726
76	0.6465802845
77	0.6465237171
78	0.6464521859
79	0.6463768747
80	0.6462985943
81	0.6462339979
82	0.6461517542
83	0.6460618374
84	0.6459964007
85	0.6459083242
86	0.6458367993
87	0.6457277911
88	0.6456471611
89	0.6455564831
90	0.6454991598
91	0.6454261299
92	0.6453663551
93	0.6452913385
94	0.6452136446
95	0.6451670005
96	0.6450957133
97	0.645058105
98	0.6449960627
99	0.6449422847
100	0.6448557151
101	0.6447901762
102	0.6447254031
103	0.6446613921
104	0.64461027
105	0.6445516081
106	0.6444861416
107	0.6444215618
108	0.6443731529
109	0.6443177798
110	0.6442996374
111	0.6442431814
112	0.6441601944
113	0.6440552995
114	0.643993862
115	0.64390762
116	0.6438279953
117	0.6437338109
118	0.6436985863
119	0.6436650523
120	0.6435641705
121	0.643503162
122	0.6434472171
123	0.6433873147
124	0.6433535822
125	0.6432961943
126	0.6432504387
127	0.6431520736
128	0.6430856841
129	0.643042405
130	0.6429813554
131	0.6429269893
132	0.6428696379
133	0.6428438844
134	0.6427860818
135	0.6427303117
136	0.6426886841
137	0.6426318319
138	0.6425702392
