iter	Passed	Remaining
0	65	65842
1	72	36421
2	79	26333
3	86	21616
4	94	18791
5	101	16867
6	109	15498
7	116	14477
8	124	13763
9	132	13138
10	139	12547
11	147	12129
12	154	11744
13	161	11374
14	168	11069
15	175	10789
16	182	10564
17	190	10387
18	197	10190
19	204	10024
20	211	9875
21	217	9689
22	225	9565
23	232	9452
24	240	9363
25	247	9254
26	254	9169
27	261	9074
28	268	8997
29	275	8920
30	283	8856
31	290	8787
32	298	8732
33	305	8670
34	312	8615
35	318	8539
36	326	8496
37	333	8434
38	340	8390
39	347	8334
40	354	8295
41	360	8234
42	368	8200
43	375	8157
44	382	8125
45	389	8084
46	396	8039
47	404	8014
48	411	7988
49	418	7951
50	426	7932
51	433	7900
52	440	7867
53	447	7847
54	454	7817
55	461	7778
56	469	7764
57	477	7763
58	485	7745
59	492	7715
60	499	7691
61	506	7663
62	513	7638
63	521	7620
64	528	7596
65	535	7574
66	542	7549
67	549	7527
68	557	7518
69	564	7498
70	571	7479
71	578	7457
72	586	7445
73	593	7431
74	601	7421
75	609	7407
76	616	7392
77	624	7377
78	631	7361
79	638	7347
80	646	7334
81	653	7316
82	660	7297
83	667	7280
84	674	7264
85	682	7252
86	689	7234
87	696	7220
88	704	7206
89	710	7186
90	718	7176
91	725	7161
92	732	7147
93	740	7133
94	747	7119
95	754	7108
96	762	7096
97	769	7083
98	777	7072
99	784	7057
100	792	7051
101	799	7041
102	807	7032
103	814	7015
104	821	7000
105	828	6989
106	836	6978
107	843	6966
108	851	6958
109	858	6947
110	866	6935
111	873	6924
112	881	6919
113	888	6904
114	896	6896
115	903	6884
116	911	6876
117	918	6866
118	926	6856
119	933	6848
120	941	6837
121	949	6830
122	956	6817
123	963	6808
124	970	6796
125	977	6783
126	985	6772
127	992	6760
128	999	6746
129	1006	6735
130	1013	6725
131	1021	6714
132	1028	6703
133	1035	6689
134	1042	6679
135	1049	6669
136	1057	6661
137	1064	6651
138	1072	6640
139	1080	6634
140	1087	6623
141	1094	6614
142	1102	6606
143	1109	6597
144	1116	6585
145	1124	6574
146	1131	6564
147	1138	6554
148	1145	6542
149	1152	6531
150	1160	6523
151	1167	6513
152	1174	6503
153	1182	6493
154	1190	6488
155	1197	6479
156	1204	6468
157	1211	6457
158	1219	6450
159	1227	6442
160	1234	6435
161	1242	6427
162	1249	6417
163	1256	6407
164	1264	6401
165	1271	6389
166	1279	6380
167	1286	6369
168	1293	6359
