iter	Passed	Remaining
0	172	17114
1	258	12663
2	344	11129
3	419	10056
4	498	9463
5	565	8862
6	684	9096
7	778	8954
8	884	8947
9	941	8470
10	1008	8160
11	1118	8202
12	1230	8233
13	1319	8107
14	1426	8084
15	1578	8286
16	1692	8261
17	1813	8259
18	1885	8037
19	2012	8049
20	2133	8026
21	2244	7956
22	2365	7920
23	2489	7884
24	2614	7843
25	2694	7669
26	2785	7530
27	2892	7437
28	2994	7330
29	3080	7188
30	3204	7133
31	3283	6977
32	3409	6922
33	3520	6834
34	3623	6730
35	3748	6664
36	3871	6591
37	3996	6520
38	4122	6448
39	4252	6378
40	4368	6286
41	4488	6198
42	4620	6124
43	4746	6040
44	4875	5958
45	4999	5868
46	5123	5777
47	5245	5682
48	5374	5594
49	5500	5500
50	5626	5405
51	5751	5308
52	5886	5219
53	6017	5125
54	6147	5029
55	6267	4924
56	6398	4826
57	6533	4731
58	6670	4635
59	6797	4531
60	6923	4426
61	7042	4316
62	7171	4211
63	7294	4103
64	7422	3996
65	7548	3888
66	7668	3776
67	7784	3663
68	7909	3553
69	8036	3444
70	8168	3336
71	8293	3225
72	8416	3112
73	8524	2995
74	8647	2882
75	8773	2770
76	8902	2659
77	9027	2546
78	9157	2434
79	9277	2319
80	9402	2205
81	9527	2091
82	9656	1977
83	9777	1862
84	9904	1747
85	10027	1632
86	10150	1516
87	10278	1401
88	10401	1285
89	10523	1169
90	10643	1052
91	10768	936
92	10899	820
93	11019	703
94	11139	586
95	11258	469
96	11384	352
97	11509	234
98	11631	117
99	11754	0
