iter	Passed	Remaining
0	3442	340764
1	6019	294964
2	8437	272813
3	9947	238730
4	11770	223638
5	13524	211887
6	15632	207685
7	17062	196215
8	18532	187387
9	19940	179461
10	21709	175646
11	23304	170900
12	24935	166877
13	26654	163736
14	28211	159865
15	29782	156360
16	31691	154729
17	33543	152809
18	35790	152578
19	37922	151690
20	39790	149689
21	41624	147577
22	43460	145498
23	45393	143744
24	47125	141375
25	48552	138186
26	50231	135811
27	51651	132818
28	53040	129856
29	54383	126894
30	56060	124780
31	57654	122515
32	59269	120335
33	61187	118775
34	62864	116748
35	64425	114533
36	65955	112302
37	67300	109806
38	68526	107182
39	69777	104665
40	71238	102513
41	72715	100416
42	74015	98113
43	75451	96028
44	76900	93989
45	78329	91952
46	79943	90148
47	81251	88022
48	83121	86514
49	85008	85008
50	86599	83203
51	88272	81482
52	89582	79441
53	91002	77521
54	92549	75722
55	94188	74005
56	96090	72489
57	98102	71039
58	99752	69319
59	101260	67506
60	102644	65625
61	104253	63897
62	105504	61962
63	106899	60131
64	108336	58334
65	109769	56547
66	111171	54756
67	112531	52956
68	113687	51077
69	114798	49199
70	115931	47352
71	117147	45557
72	118306	43757
73	119541	42000
74	121264	40421
75	123024	38849
76	124413	37162
77	126496	35678
78	128272	34097
79	129925	32481
80	131229	30782
81	132536	29093
82	133899	27425
83	135282	25768
84	136857	24151
85	138293	22512
86	140298	20964
87	142124	19380
88	143864	17780
89	145390	16154
90	147176	14555
91	148625	12923
92	149862	11279
93	151183	9650
94	152353	8018
95	153637	6401
96	154841	4788
97	156046	3184
98	157359	1589
99	158505	0
