iter	Passed	Remaining
0	60	60425
1	63	31498
2	65	21753
3	67	16888
4	69	13896
5	72	11933
6	73	10495
7	76	9432
8	78	8612
9	80	7942
10	82	7393
11	83	6912
12	85	6524
13	88	6203
14	90	5916
15	92	5670
16	94	5470
17	96	5284
18	98	5097
19	100	4939
20	102	4798
21	105	4675
22	107	4577
23	110	4508
24	112	4388
25	114	4284
26	116	4195
27	118	4104
28	120	4020
29	121	3938
30	123	3863
31	125	3798
32	127	3734
33	129	3679
34	131	3626
35	133	3570
36	135	3517
37	136	3465
38	139	3429
39	141	3390
40	143	3346
41	145	3311
42	147	3278
43	149	3241
44	150	3201
45	152	3168
46	154	3136
47	156	3108
48	158	3080
49	160	3049
50	162	3020
51	164	2995
52	166	2971
53	168	2947
54	169	2920
55	172	2899
56	174	2880
57	175	2855
58	178	2839
59	180	2822
60	182	2802
61	184	2785
62	185	2765
63	187	2746
64	189	2727
65	191	2708
66	193	2694
67	196	2688
68	198	2677
69	200	2666
70	202	2650
71	204	2637
72	207	2631
73	209	2620
74	211	2605
75	213	2591
76	215	2577
77	217	2568
78	219	2554
79	220	2537
80	223	2533
81	225	2521
82	227	2509
83	229	2501
84	231	2496
85	234	2487
86	235	2473
87	237	2461
88	239	2448
89	240	2435
90	242	2422
91	244	2411
92	246	2401
93	248	2391
94	250	2383
95	252	2375
96	254	2367
97	256	2361
98	258	2349
99	260	2341
100	261	2330
101	263	2321
102	265	2314
103	267	2304
104	269	2297
105	271	2288
106	273	2285
107	275	2275
108	277	2267
109	279	2261
110	281	2253
111	283	2245
112	285	2240
113	287	2231
114	289	2225
115	291	2219
116	293	2214
117	295	2205
118	296	2198
119	298	2192
120	300	2186
121	302	2179
122	304	2173
123	306	2165
124	308	2158
125	310	2153
126	312	2146
127	314	2142
128	316	2136
129	318	2128
130	320	2124
131	322	2118
132	323	2111
133	325	2105
134	327	2100
135	329	2095
136	331	2089
137	333	2084
138	335	2080
139	337	2074
140	339	2067
141	341	2061
142	343	2055
143	345	2051
144	346	2045
145	348	2038
146	350	2032
147	352	2027
148	354	2022
149	355	2016
150	357	2010
151	359	2006
152	361	2000
153	363	1994
154	364	1989
155	366	1984
156	368	1980
157	370	1976
158	372	1971
159	374	1966
160	376	1961
161	378	1955
162	380	1951
163	381	1947
164	383	1942
165	385	1936
166	387	1933
167	389	1928
168	391	1924
169	393	1919
170	395	1917
171	397	1914
172	399	1910
173	401	1906
174	403	1901
175	405	1898
176	407	1893
177	409	1889
178	411	1885
179	413	1881
180	415	1878
181	417	1874
182	419	1870
183	420	1865
184	422	1861
185	424	1857
186	426	1852
187	427	1848
188	429	1844
189	432	1844
190	434	1840
191	436	1837
192	438	1832
193	439	1828
194	442	1824
195	444	1821
196	446	1819
197	448	1815
198	450	1812
199	452	1808
200	454	1805
201	456	1802
202	457	1797
203	459	1794
204	461	1789
205	463	1786
206	465	1782
207	467	1779
208	469	1775
209	471	1773
210	473	1769
211	475	1766
212	477	1762
213	478	1758
214	480	1754
215	482	1752
216	484	1748
217	486	1743
218	487	1739
219	489	1736
220	491	1732
221	493	1730
222	496	1728
223	498	1725
224	500	1722
225	502	1719
226	504	1716
227	506	1714
228	508	1711
229	510	1708
230	511	1704
231	513	1700
232	515	1697
233	517	1695
234	520	1694
235	522	1692
236	524	1689
237	526	1686
238	528	1682
239	530	1680
240	532	1676
241	534	1673
242	536	1672
243	538	1669
244	540	1666
245	542	1662
246	544	1659
247	546	1657
248	548	1654
249	550	1651
250	552	1648
251	554	1644
252	555	1641
253	557	1638
254	560	1636
255	561	1632
256	563	1629
257	565	1625
258	567	1624
259	569	1622
260	571	1618
261	573	1615
262	575	1613
263	577	1610
264	579	1608
265	581	1604
266	583	1602
267	585	1598
268	587	1595
269	589	1592
270	591	1590
271	593	1587
272	595	1585
273	597	1582
274	599	1579
275	601	1577
276	603	1574
277	605	1571
278	607	1568
279	609	1566
280	611	1563
281	613	1562
282	615	1559
283	617	1557
284	619	1554
285	621	1551
286	623	1548
287	625	1545
288	627	1542
289	629	1540
290	631	1537
291	633	1535
292	635	1532
293	637	1530
294	639	1527
295	641	1525
296	643	1523
297	645	1520
298	647	1518
299	649	1516
300	651	1513
301	654	1512
302	656	1510
303	658	1506
304	660	1504
305	662	1501
306	663	1498
307	665	1495
308	668	1494
309	670	1491
310	671	1488
311	673	1485
312	675	1483
313	677	1481
314	680	1478
315	681	1476
316	683	1473
317	685	1470
318	688	1468
319	689	1465
320	691	1463
321	693	1461
322	695	1458
323	697	1455
324	699	1452
325	701	1450
326	703	1448
327	705	1446
328	708	1444
329	710	1441
330	712	1439
331	714	1437
332	716	1435
333	718	1433
334	720	1430
335	722	1428
336	724	1426
337	726	1423
338	728	1420
339	730	1418
340	732	1416
341	734	1413
342	736	1410
343	738	1408
344	740	1405
345	742	1402
346	744	1400
347	746	1398
348	748	1396
349	750	1394
350	752	1392
351	754	1389
352	756	1386
353	758	1384
354	760	1381
355	762	1378
356	763	1375
357	765	1372
358	767	1369
359	769	1367
360	771	1365
361	773	1363
362	775	1360
363	777	1357
364	779	1355
365	781	1353
366	783	1350
367	785	1348
368	787	1346
369	789	1343
370	791	1341
371	793	1339
372	795	1336
373	797	1334
374	799	1331
375	801	1329
376	803	1327
377	805	1325
378	807	1322
379	808	1319
380	810	1317
381	812	1315
382	814	1312
383	816	1310
384	818	1307
385	820	1305
386	822	1302
387	824	1300
388	826	1298
389	828	1296
390	830	1293
391	832	1291
392	834	1288
393	836	1286
394	838	1284
395	840	1281
396	842	1279
397	844	1277
398	846	1274
399	847	1271
400	849	1269
401	851	1267
402	853	1264
403	855	1262
404	857	1260
405	859	1257
406	861	1254
407	863	1252
408	865	1250
409	867	1247
410	869	1245
411	871	1243
412	872	1240
413	874	1238
414	876	1235
415	878	1233
416	880	1230
417	882	1228
418	883	1225
419	885	1223
420	887	1220
421	889	1218
422	891	1215
423	893	1213
424	895	1211
425	897	1208
426	899	1206
427	901	1204
428	902	1201
429	905	1200
430	907	1198
431	909	1195
432	911	1193
433	914	1192
434	916	1190
435	918	1187
436	920	1185
437	921	1182
438	923	1180
439	925	1178
440	927	1175
441	929	1173
442	931	1170
443	933	1168
444	935	1166
445	937	1163
446	939	1161
447	941	1159
448	942	1157
449	944	1154
450	946	1152
451	948	1149
452	950	1147
453	952	1145
454	953	1142
455	955	1140
456	957	1137
457	959	1135
458	961	1132
459	963	1130
460	965	1128
461	967	1126
462	969	1124
463	971	1121
464	973	1119
465	975	1117
466	977	1115
467	979	1112
468	980	1110
469	983	1108
470	984	1106
471	986	1103
472	988	1101
473	990	1099
474	992	1096
475	994	1094
476	995	1091
477	997	1089
478	999	1087
479	1001	1084
480	1002	1082
481	1004	1079
482	1006	1077
483	1008	1075
484	1010	1073
485	1012	1070
486	1014	1068
487	1016	1066
488	1018	1063
489	1020	1061
490	1022	1059
491	1024	1057
492	1026	1055
493	1028	1053
494	1029	1050
495	1032	1049
496	1034	1046
497	1036	1044
498	1038	1042
499	1040	1040
500	1041	1037
501	1043	1035
502	1046	1033
503	1048	1031
504	1050	1029
505	1052	1027
506	1054	1025
507	1055	1022
508	1058	1020
509	1060	1018
510	1062	1017
511	1064	1014
512	1066	1012
513	1068	1009
514	1070	1007
515	1072	1005
516	1074	1003
517	1075	1001
518	1077	999
519	1079	996
520	1082	994
521	1084	992
522	1086	990
523	1088	988
524	1090	986
525	1092	984
526	1093	981
527	1095	979
528	1098	977
529	1100	975
530	1101	973
531	1104	971
532	1106	969
533	1108	966
534	1110	964
535	1112	962
536	1114	960
537	1116	958
538	1118	956
539	1120	954
540	1122	951
541	1124	950
542	1126	948
543	1128	945
544	1129	943
545	1131	941
546	1133	938
547	1135	936
548	1138	935
549	1140	932
550	1142	930
551	1143	928
552	1145	926
553	1148	924
554	1150	922
555	1152	920
556	1155	918
557	1157	916
