iter	Passed	Remaining
0	62	62728
1	64	32174
2	66	22034
3	68	16976
4	70	13944
5	72	11967
6	74	10515
7	76	9429
8	77	8574
9	79	7898
10	81	7347
11	83	6898
12	85	6513
13	87	6189
14	89	5904
15	91	5649
16	93	5415
17	95	5221
18	98	5077
19	100	4939
20	102	4794
21	104	4664
22	107	4550
23	109	4455
24	111	4357
25	113	4259
26	116	4198
27	118	4124
28	120	4039
29	122	3961
30	124	3906
31	126	3834
32	128	3762
33	130	3697
34	132	3648
35	134	3596
36	136	3541
37	137	3488
38	139	3444
39	141	3402
40	143	3365
41	146	3330
42	148	3294
43	149	3255
44	151	3216
45	153	3187
46	155	3159
47	157	3124
48	159	3098
49	161	3068
50	163	3038
51	165	3016
52	167	2990
53	169	2965
54	171	2938
55	172	2915
56	174	2888
57	176	2867
58	178	2853
59	180	2833
60	183	2818
61	184	2796
62	186	2775
63	188	2757
64	190	2740
65	192	2725
66	194	2707
67	196	2693
68	198	2676
69	200	2664
70	202	2650
71	204	2634
72	206	2622
73	208	2613
74	210	2598
75	212	2581
76	214	2568
77	216	2553
78	218	2545
79	220	2530
80	222	2520
81	224	2509
82	225	2494
83	227	2486
84	230	2484
85	232	2474
86	234	2460
87	236	2451
88	238	2440
89	240	2429
90	242	2420
91	244	2410
92	246	2400
93	247	2388
94	250	2381
95	251	2371
96	253	2361
97	255	2355
98	257	2346
99	259	2337
100	261	2328
101	263	2320
102	265	2311
103	267	2303
104	269	2295
105	271	2289
106	273	2281
107	275	2279
108	277	2272
109	279	2264
110	281	2254
111	283	2246
112	285	2242
113	287	2236
114	289	2227
115	291	2220
116	293	2212
117	295	2206
118	296	2197
119	298	2191
120	300	2184
121	302	2179
122	304	2172
123	306	2163
124	308	2157
125	309	2149
126	311	2142
127	313	2137
128	315	2131
129	317	2125
130	319	2122
131	321	2114
132	323	2109
133	325	2103
134	327	2099
135	329	2093
136	331	2087
137	333	2082
138	335	2076
139	337	2072
140	339	2066
141	341	2061
142	343	2057
143	345	2052
144	347	2047
145	349	2044
146	351	2039
147	353	2035
148	356	2034
149	358	2029
150	361	2034
151	363	2028
152	365	2023
153	367	2017
154	369	2013
155	371	2010
156	373	2003
157	374	1996
158	375	1988
159	377	1982
160	379	1978
161	381	1974
162	384	1974
163	386	1969
164	388	1965
165	390	1962
166	392	1959
167	395	1958
168	397	1954
169	399	1950
170	401	1945
171	403	1942
172	406	1941
173	409	1941
174	411	1939
175	413	1937
176	416	1935
177	418	1932
178	420	1929
179	423	1927
180	424	1922
181	427	1919
182	429	1915
183	430	1910
184	432	1907
185	435	1904
186	437	1900
187	439	1897
188	441	1893
189	443	1889
190	445	1885
191	447	1882
192	449	1879
193	452	1878
194	454	1875
195	456	1872
196	459	1870
197	461	1869
198	463	1866
199	465	1862
200	467	1859
201	469	1856
202	471	1851
203	473	1849
204	476	1846
205	478	1845
206	481	1843
207	483	1841
208	486	1840
209	488	1836
210	490	1833
211	492	1831
212	494	1827
213	496	1824
214	498	1821
215	501	1819
216	503	1816
217	505	1814
218	508	1812
219	510	1809
220	512	1807
221	516	1808
222	518	1805
223	520	1802
224	522	1799
225	524	1797
226	527	1794
227	529	1793
228	531	1790
229	533	1787
230	536	1785
231	539	1786
232	542	1784
233	544	1781
234	546	1778
235	548	1775
236	550	1773
237	553	1770
238	555	1767
239	557	1764
240	559	1760
241	561	1757
242	562	1753
243	564	1750
244	567	1748
245	569	1746
246	571	1741
247	573	1739
248	575	1735
249	577	1733
250	580	1731
251	582	1729
252	584	1726
253	586	1723
254	588	1718
255	590	1716
256	593	1715
257	595	1713
258	597	1710
259	600	1709
260	603	1708
261	606	1707
262	608	1704
263	609	1700
264	611	1697
265	614	1695
266	616	1693
267	619	1691
268	621	1688
269	623	1686
270	626	1683
271	628	1680
272	630	1679
273	632	1676
274	634	1673
275	636	1669
276	638	1666
277	640	1662
278	642	1659
279	644	1656
280	645	1652
281	647	1649
282	649	1646
283	651	1642
284	653	1638
285	655	1636
286	657	1633
287	659	1630
288	661	1626
289	663	1623
290	664	1620
291	666	1616
292	668	1614
293	670	1610
294	672	1608
295	674	1605
296	676	1601
297	678	1598
298	680	1595
299	682	1592
300	684	1589
301	686	1587
302	688	1584
303	691	1582
304	693	1579
305	695	1577
306	697	1574
307	699	1571
308	701	1569
309	703	1566
310	706	1564
311	708	1562
312	710	1559
313	712	1557
314	715	1554
315	717	1552
316	719	1550
317	722	1550
318	725	1548
319	727	1546
320	729	1543
321	731	1539
322	733	1537
323	735	1534
324	737	1532
325	739	1529
326	742	1527
327	744	1525
328	747	1523
329	749	1521
330	751	1518
331	754	1518
332	757	1517
333	759	1513
334	761	1511
335	763	1508
336	766	1507
337	768	1505
338	771	1504
339	773	1502
340	775	1499
341	778	1497
342	780	1494
343	783	1493
344	786	1493
345	788	1491
346	791	1489
347	793	1487
348	797	1486
349	799	1485
350	801	1482
351	803	1479
352	805	1477
353	808	1474
354	810	1473
355	813	1471
356	815	1469
357	818	1467
358	820	1464
359	822	1461
360	824	1460
361	826	1457
362	829	1454
363	831	1452
364	833	1449
365	835	1447
366	838	1445
367	840	1443
368	842	1440
369	844	1438
370	847	1436
371	850	1435
372	852	1433
373	854	1430
374	856	1428
375	858	1425
376	860	1422
377	863	1420
378	865	1417
379	867	1415
380	869	1412
381	871	1410
382	873	1407
383	875	1404
384	877	1402
385	879	1399
386	881	1396
387	884	1394
388	886	1392
389	888	1390
390	890	1387
391	893	1385
392	895	1383
393	897	1380
394	900	1378
395	902	1376
396	904	1374
397	906	1371
398	909	1369
399	911	1367
400	913	1364
401	915	1361
402	917	1358
403	919	1356
404	921	1354
405	924	1351
406	926	1349
407	928	1347
408	930	1345
409	933	1342
410	935	1340
411	937	1337
412	939	1335
413	942	1333
414	944	1331
415	946	1329
416	949	1326
417	951	1325
418	954	1324
419	957	1322
420	959	1320
421	961	1317
422	963	1314
423	966	1312
424	968	1310
425	970	1308
426	973	1306
427	975	1303
428	978	1301
429	980	1300
430	982	1297
431	985	1295
432	987	1293
433	989	1290
434	992	1288
435	994	1286
436	996	1284
437	998	1281
438	1001	1279
439	1003	1277
440	1006	1275
441	1008	1273
442	1010	1270
443	1012	1267
444	1014	1265
445	1016	1262
446	1019	1261
447	1021	1259
448	1023	1256
449	1026	1254
450	1028	1251
451	1030	1249
452	1033	1247
453	1035	1245
454	1037	1242
455	1039	1239
456	1041	1237
457	1043	1234
458	1045	1232
459	1047	1229
460	1049	1227
461	1051	1224
462	1053	1222
463	1055	1219
464	1057	1217
465	1059	1214
466	1061	1211
467	1063	1209
468	1065	1206
469	1067	1203
470	1069	1200
471	1071	1198
472	1073	1195
473	1074	1192
474	1076	1190
475	1078	1187
476	1080	1184
477	1082	1182
478	1085	1180
479	1086	1177
480	1088	1174
481	1090	1172
482	1092	1169
483	1095	1168
484	1098	1166
485	1099	1163
486	1101	1160
487	1104	1158
488	1106	1156
489	1108	1153
490	1110	1151
491	1112	1149
492	1115	1146
493	1117	1144
494	1119	1142
495	1121	1140
496	1124	1138
497	1127	1136
498	1128	1133
499	1130	1130
500	1132	1128
501	1134	1125
502	1137	1124
503	1139	1121
504	1142	1119
505	1144	1117
506	1146	1115
507	1149	1113
508	1151	1111
509	1153	1108
510	1156	1106
511	1158	1104
512	1161	1102
513	1163	1100
514	1165	1097
515	1167	1095
516	1169	1092
517	1171	1090
518	1174	1088
519	1176	1086
520	1179	1083
521	1181	1081
522	1183	1079
523	1186	1077
524	1189	1076
525	1191	1073
526	1193	1071
527	1195	1068
528	1197	1066
529	1200	1064
530	1203	1062
531	1205	1060
532	1207	1058
533	1209	1055
534	1212	1054
535	1215	1051
536	1217	1049
537	1219	1047
538	1221	1044
539	1223	1042
540	1226	1040
541	1228	1038
542	1230	1036
543	1232	1033
544	1235	1031
545	1237	1028
546	1240	1027
547	1242	1024
548	1244	1022
549	1247	1020
550	1250	1018
551	1252	1016
552	1254	1014
553	1256	1011
554	1259	1009
555	1261	1007
556	1263	1005
557	1266	1002
558	1268	1000
559	1270	998
560	1272	995
561	1274	993
562	1276	990
563	1278	988
564	1280	986
565	1282	983
566	1284	981
567	1286	978
568	1289	976
569	1290	973
570	1292	971
571	1295	968
572	1296	966
573	1299	964
574	1301	961
575	1303	959
576	1305	956
577	1307	954
578	1309	951
579	1310	949
580	1312	946
581	1314	944
582	1317	942
583	1319	939
584	1321	937
585	1323	935
586	1325	932
587	1327	929
588	1329	927
589	1331	925
590	1333	922
591	1335	920
592	1337	917
593	1339	915
594	1341	913
595	1343	910
596	1345	908
597	1347	905
598	1350	903
599	1352	901
600	1353	898
601	1355	896
602	1357	893
603	1359	891
604	1361	888
605	1363	886
606	1365	884
607	1367	881
608	1370	879
609	1371	877
610	1373	874
611	1375	872
612	1377	869
613	1379	867
614	1381	864
615	1383	862
616	1386	860
617	1388	858
618	1390	855
619	1391	853
620	1393	850
621	1396	848
622	1398	846
623	1400	843
624	1401	840
625	1403	838
626	1405	836
627	1407	834
628	1410	831
629	1412	829
630	1415	827
631	1417	825
632	1419	822
633	1421	820
634	1423	818
635	1425	815
636	1427	813
637	1429	810
638	1431	808
639	1433	806
640	1434	803
641	1437	801
642	1439	799
643	1441	796
644	1443	794
645	1445	792
646	1448	790
647	1449	787
648	1451	785
649	1453	782
650	1455	780
651	1457	778
652	1459	775
653	1461	773
654	1463	771
655	1465	768
656	1467	766
657	1469	763
658	1471	761
659	1473	759
660	1475	756
661	1477	754
662	1479	752
663	1481	749
664	1483	747
665	1485	744
666	1486	742
667	1488	739
668	1491	737
669	1492	735
670	1495	733
671	1497	730
672	1499	728
673	1501	726
674	1503	723
675	1505	721
676	1507	719
677	1509	716
678	1511	714
679	1513	712
680	1515	709
681	1518	707
682	1520	705
683	1522	703
684	1524	701
685	1526	698
686	1528	696
687	1530	694
688	1532	691
689	1534	689
690	1536	687
691	1538	684
692	1540	682
693	1542	680
694	1544	677
695	1546	675
696	1548	673
697	1550	670
698	1552	668
699	1554	666
700	1556	663
701	1558	661
702	1560	659
703	1562	656
704	1564	654
705	1566	652
706	1568	649
707	1570	647
708	1572	645
709	1573	642
710	1575	640
711	1578	638
712	1580	636
713	1582	633
714	1584	631
715	1586	629
716	1587	626
717	1589	624
718	1591	622
719	1593	619
720	1595	617
721	1597	615
722	1599	612
723	1601	610
724	1604	608
725	1606	606
726	1608	603
727	1610	601
728	1612	599
729	1613	596
730	1616	594
731	1618	592
732	1620	590
733	1622	587
734	1623	585
735	1625	583
736	1628	580
737	1630	578
738	1632	576
739	1634	574
740	1636	571
741	1638	569
742	1640	567
743	1642	565
744	1644	562
745	1646	560
746	1648	558
747	1650	555
748	1652	553
749	1654	551
750	1656	549
751	1658	546
752	1659	544
753	1661	542
754	1663	539
755	1665	537
756	1667	535
757	1670	533
758	1672	530
759	1674	528
760	1677	526
761	1679	524
762	1681	522
763	1683	519
764	1684	517
765	1687	515
766	1688	513
767	1691	510
768	1693	508
769	1696	506
770	1698	504
771	1700	502
772	1702	500
773	1705	497
774	1707	495
775	1709	493
776	1711	491
777	1713	488
778	1715	486
779	1717	484
780	1719	482
781	1721	479
782	1723	477
783	1724	475
784	1726	472
785	1728	470
786	1730	468
787	1732	466
788	1734	463
789	1736	461
790	1738	459
791	1740	457
792	1742	454
793	1744	452
794	1746	450
795	1748	448
796	1750	445
797	1752	443
798	1754	441
799	1756	439
800	1758	436
801	1760	434
802	1761	432
803	1763	429
804	1765	427
805	1767	425
806	1769	423
807	1771	421
808	1773	418
809	1775	416
810	1777	414
811	1779	412
812	1782	409
813	1784	407
814	1786	405
815	1788	403
816	1789	400
817	1791	398
818	1793	396
819	1795	394
820	1797	391
821	1799	389
822	1801	387
823	1802	385
824	1805	382
825	1806	380
826	1809	378
827	1811	376
828	1813	374
829	1815	371
830	1817	369
831	1819	367
832	1821	365
833	1823	362
834	1824	360
835	1827	358
836	1829	356
837	1831	354
838	1833	351
839	1835	349
840	1836	347
841	1839	345
842	1841	342
843	1843	340
844	1845	338
845	1846	336
846	1849	334
847	1850	331
848	1852	329
849	1855	327
850	1857	325
851	1859	323
852	1861	320
853	1863	318
854	1865	316
855	1868	314
