iter	Passed	Remaining
0	1	1620
1	2	1443
2	4	1397
3	5	1444
4	7	1434
5	8	1429
6	10	1510
7	13	1637
8	14	1648
9	16	1647
10	18	1654
11	20	1664
12	21	1651
13	23	1661
14	25	1690
15	27	1708
16	29	1730
17	32	1750
18	34	1763
19	36	1777
20	38	1781
21	40	1780
22	42	1784
23	44	1790
24	45	1785
25	47	1769
26	48	1758
27	50	1750
28	52	1745
29	53	1745
30	55	1744
31	57	1744
32	59	1738
33	61	1758
34	64	1768
35	66	1777
36	68	1779
37	70	1772
38	72	1776
39	73	1772
40	75	1766
41	77	1767
42	79	1764
43	81	1763
44	82	1758
45	84	1756
46	86	1753
47	88	1756
48	90	1755
49	92	1752
50	94	1753
51	96	1754
52	97	1750
53	100	1752
54	102	1753
55	103	1748
56	105	1740
57	106	1736
58	108	1735
59	110	1736
60	112	1733
61	114	1734
62	116	1733
63	118	1731
64	120	1728
65	122	1729
66	123	1724
67	125	1721
68	128	1733
69	130	1731
70	132	1728
71	133	1725
72	135	1720
73	137	1718
74	138	1713
75	140	1710
76	142	1712
77	144	1709
78	146	1707
79	148	1702
80	149	1699
81	152	1705
82	154	1702
83	155	1699
84	157	1697
85	159	1695
86	161	1696
87	164	1702
88	166	1700
89	167	1697
90	170	1699
91	172	1701
92	174	1698
93	176	1699
94	178	1697
95	180	1696
96	181	1692
97	183	1688
98	185	1687
99	187	1687
100	189	1688
101	191	1686
102	193	1685
103	195	1688
104	198	1688
105	199	1685
106	201	1683
107	203	1680
108	205	1679
109	207	1677
110	209	1675
111	210	1672
112	213	1672
113	214	1669
114	216	1668
115	218	1666
116	221	1669
117	222	1666
118	224	1664
119	226	1661
120	228	1660
121	230	1658
122	232	1656
123	234	1653
124	236	1652
125	237	1650
126	239	1645
127	241	1642
128	243	1641
129	245	1644
130	247	1642
131	249	1640
132	251	1636
133	252	1633
134	254	1630
135	256	1628
136	258	1627
137	260	1626
138	262	1624
139	264	1623
140	266	1626
141	268	1624
142	270	1621
143	272	1618
144	273	1615
145	275	1614
146	277	1611
147	279	1608
148	281	1606
149	283	1603
150	284	1601
151	286	1599
152	288	1596
153	290	1595
154	292	1593
155	294	1591
156	295	1587
157	297	1585
158	299	1582
159	301	1580
160	302	1577
161	304	1575
162	306	1573
163	308	1572
164	310	1570
165	312	1567
166	313	1566
167	315	1563
168	317	1562
169	319	1559
170	321	1556
171	323	1555
172	324	1552
173	326	1550
174	328	1548
175	329	1544
176	331	1541
177	333	1539
178	335	1536
179	336	1534
180	338	1532
181	340	1530
182	342	1527
183	343	1525
184	345	1523
185	347	1522
186	350	1523
187	352	1522
188	354	1520
189	356	1518
190	358	1517
191	360	1515
192	361	1513
193	363	1511
194	365	1509
195	367	1507
196	370	1508
197	372	1507
198	373	1504
199	375	1503
200	377	1500
201	379	1497
202	380	1494
203	383	1495
204	385	1494
205	387	1492
206	389	1491
207	391	1490
208	393	1488
209	396	1490
210	398	1489
211	400	1487
212	402	1485
213	404	1484
214	406	1482
215	407	1480
216	409	1477
217	411	1475
218	412	1472
219	414	1470
220	416	1468
221	419	1468
222	421	1467
223	422	1464
224	424	1463
225	426	1461
226	429	1460
227	430	1458
228	432	1457
229	434	1455
230	436	1453
231	438	1451
232	440	1449
233	442	1447
234	444	1445
235	445	1443
236	447	1440
237	449	1438
238	451	1436
239	453	1435
240	455	1432
241	457	1434
242	459	1432
243	461	1430
244	463	1427
245	465	1426
246	467	1424
247	469	1422
248	471	1422
249	473	1420
250	475	1417
251	477	1415
252	478	1412
253	480	1411
254	482	1410
255	484	1408
256	486	1407
257	488	1406
258	490	1403
259	492	1401
260	494	1399
261	496	1397
262	498	1396
263	500	1394
264	502	1392
265	503	1389
266	505	1387
267	507	1385
268	509	1384
269	511	1383
270	513	1381
271	515	1379
272	517	1378
273	519	1375
274	520	1372
275	523	1372
276	525	1371
277	527	1370
278	529	1367
279	530	1365
280	532	1363
281	534	1361
282	536	1360
283	538	1358
284	540	1356
285	542	1354
286	544	1352
287	546	1350
288	547	1347
289	549	1345
290	551	1343
291	553	1342
292	555	1341
293	557	1338
294	559	1336
295	560	1333
296	562	1331
297	564	1330
298	566	1328
299	567	1325
300	569	1323
301	571	1321
302	573	1319
303	575	1317
304	576	1314
305	579	1313
306	581	1312
307	583	1311
308	585	1310
309	587	1307
310	589	1306
